source,t_start,t_end,arp_rate,arp_req_reply_ratio,mac_entropy,unique_src_macs,unique_dst_macs,frame_len_mean,frame_len_std,frame_len_min,frame_len_max,broadcast_ratio,total_packets,label
victima1,1781423584.095511,1781423584.099616,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.099629,1781423584.106938,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.106952,1781423584.112451,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.112466,1781423584.120951,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.120965,1781423584.124709,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.124723,1781423584.131043,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.131057,1781423584.136461,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.140274,1781423584.143502,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.143516,1781423584.150871,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.150884,1781423584.156561,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.156575,1781423584.164046,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.16406,1781423584.168072,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.168085,1781423584.174492,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.174506,1781423584.178305,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.17832,1781423584.185156,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.185177,1781423584.194135,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.194188,1781423584.198258,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.198273,1781423584.205763,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.205776,1781423584.212361,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.212377,1781423584.219282,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.219297,1781423584.224616,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
victima1,1781423584.224629,1781423584.23122,0.0,0.0,3.9120230054281455,50,50,54.0,0.0,54,54,0.0,50,mac_flood
